,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Year
0,Norway,Western Europe,4,7.522,1.459,2015
1,Belgium,Western Europe,19,6.937,1.30782,2015
2,Spain,Western Europe,36,6.329,1.23011,2015
3,North Cyprus,Western Europe,66,5.695,1.20806,2015
4,Portugal,Western Europe,88,5.102,1.15991,2015
5,Norway,Western Europe,4,7.498,1.57744,2016
6,Belgium,Western Europe,18,6.929,1.42539,2016
7,Spain,Western Europe,37,6.361,1.34253,2016
8,North Cyprus,Western Europe,62,5.771,1.31141,2016
9,Portugal,Western Europe,94,5.123,1.27607,2016
10,Norway,Western Europe,1,7.537000179,1.616463184,2017
11,Belgium,Western Europe,17,6.890999794,1.463780761,2017
12,Spain,Western Europe,34,6.402999878,1.384397864,2017
13,North Cyprus,Western Europe,61,5.809999943,1.346911311,2017
14,Portugal,Western Europe,89,5.195000172,1.315175295,2017
